n;V_w(t);T;I_a;n(t);A;P_pv
1,00;2,00;-16,20;0,00;19,822212;2,52;0
2,00;2,00;-16,20;0,00;19,822212;2,52;0
3,00;2,00;-16,20;0,00;19,822212;2,52;0
4,00;2,00;-16,20;0,00;19,822212;2,52;0
5,00;2,00;-16,20;0,00;19,822212;2,52;0
6,00;2,00;-16,20;0,00;19,822212;2,52;0
7,00;2,00;-16,20;0,00;19,822212;2,52;0
8,00;2,00;-16,20;0,00;19,822212;2,52;0
9,00;2,00;-16,20;0,00;19,822212;2,52;0
10,00;2,00;-16,20;0,00;19,822212;2,52;0
11,00;2,00;-16,20;64,21;19,822212;2,52;3047,133839
12,00;2,00;-16,20;127,21;19,822212;2,52;6036,453624
13,00;2,00;-16,20;222,37;19,822212;2,52;10552,21945
14,00;2,00;-16,20;345,17;19,822212;2,52;16379,95228
15,00;2,00;-16,20;300,24;19,822212;2,52;14247,88885
16,00;2,00;-16,20;188,30;19,822212;2,52;8935,855805
17,00;2,00;-16,20;96,77;19,822212;2,52;4592,211217
18,00;1,00;-16,20;27,23;19,822212;2,52;1292,340364
19,00;1,00;-16,20;0,00;19,822212;2,52;0
20,00;1,00;-16,20;0,00;19,822212;2,52;0
21,00;1,00;-16,20;0,00;19,822212;2,52;0
22,00;1,00;-16,20;0,00;19,822212;2,52;0
23,00;1,00;-13,10;0,00;19,556046;2,52;0
24,00;2,00;-13,10;0,00;19,556046;2,52;0
25,00;2,00;-15,40;0,00;19,753524;2,52;0
26,00;2,00;-15,40;0,00;19,753524;2,52;0
27,00;2,00;-15,40;0,00;19,753524;2,52;0
28,00;2,00;-15,40;0,00;19,753524;2,52;0
29,00;2,00;-15,40;0,00;19,753524;2,52;0
30,00;1,00;-15,40;0,00;19,753524;2,52;0
31,00;1,00;-16,00;0,00;19,80504;2,52;0
32,00;1,00;-16,00;0,00;19,80504;2,52;0
33,00;1,00;-16,00;0,00;19,80504;2,52;0
34,00;1,00;-16,00;0,00;19,80504;2,52;0
35,00;1,00;-16,00;38,35;19,80504;2,52;1818,381618
36,00;1,00;-16,00;83,09;19,80504;2,52;3939,442444
37,00;1,00;-16,00;141,91;19,80504;2,52;6728,517733
38,00;1,00;-16,00;202,21;19,80504;2,52;9587,529158
39,00;1,00;-16,00;181,39;19,80504;2,52;8600,061363
40,00;1,00;-16,00;122,59;19,80504;2,52;5812,272059
41,00;1,00;-16,00;61,46;19,80504;2,52;2914,062367
42,00;1,00;-16,00;14,54;19,80504;2,52;689,3210385
43,00;1,00;-16,00;0,00;19,80504;2,52;0
44,00;1,00;-16,00;0,00;19,80504;2,52;0
45,00;1,00;-16,00;0,00;19,80504;2,52;0
46,00;1,00;-16,00;0,00;19,80504;2,52;0
47,00;1,00;-15,90;0,00;19,796454;2,52;0
48,00;1,00;-15,90;0,00;19,796454;2,52;0
49,00;1,00;-17,30;0,00;19,916658;2,52;0
50,00;1,00;-17,30;0,00;19,916658;2,52;0
51,00;1,00;-17,30;0,00;19,916658;2,52;0
52,00;1,00;-17,30;0,00;19,916658;2,52;0
53,00;1,00;-17,30;0,00;19,916658;2,52;0
54,00;1,00;-17,30;0,00;19,916658;2,52;0
55,00;1,00;-17,30;0,00;19,916658;2,52;0
56,00;1,00;-17,30;0,00;19,916658;2,52;0
57,00;1,00;-17,30;0,00;19,916658;2,52;0
58,00;1,00;-17,30;0,00;19,916658;2,52;0
59,00;1,00;-17,30;38,49;19,916658;2,52;1835,066803
60,00;1,00;-17,30;83,23;19,916658;2,52;3968,509587
61,00;1,00;-17,30;115,39;19,916658;2,52;5501,881134
62,00;1,00;-17,30;166,67;19,916658;2,52;7947,033587
63,00;1,00;-17,30;148,99;19,916658;2,52;7103,734717
64,00;1,00;-17,30;98,96;19,916658;2,52;4718,601989
65,00;1,00;-17,30;47,47;19,916658;;
66,00;1,00;-17,30;10,46;19,916658;;
67,00;1,00;-17,30;0,00;19,916658;;
68,00;1,00;-17,30;0,00;19,916658;;
69,00;1,00;-17,30;0,00;19,916658;;
70,00;1,00;-17,30;0,00;19,916658;;
71,00;1,00;-18,10;0,00;19,985346;;
72,00;1,00;-18,10;0,00;19,985346;;
73,00;1,00;-20,50;0,00;20,19141;;
74,00;1,00;-20,50;0,00;20,19141;;
75,00;1,00;-20,50;0,00;20,19141;;
76,00;1,00;-20,50;0,00;;;
77,00;1,00;-20,50;0,00;;;
78,00;1,00;-20,50;0,00;;;
79,00;1,00;-21,10;0,00;;;
80,00;1,00;-21,10;0,00;;;
81,00;1,00;-21,10;0,00;;;
82,00;1,00;-21,10;0,00;;;
83,00;1,00;-21,10;38,61;;;
84,00;1,00;-21,10;83,40;;;
85,00;1,00;-21,10;225,74;;;
86,00;1,00;-21,10;355,37;;;
87,00;1,00;-21,10;307,82;;;
88,00;1,00;-21,10;190,10;;;
89,00;1,00;-21,10;95,78;;;
90,00;1,00;-21,10;26,48;;;
91,00;1,00;-21,10;0,00;;;
92,00;1,00;-21,10;0,00;;;
93,00;1,00;-21,10;0,00;;;
94,00;1,00;-21,10;0,00;;;
95,00;1,00;-20,10;0,00;;;
96,00;1,00;-20,10;0,00;;;
97,00;1,00;-22,50;0,00;;;
98,00;1,00;-22,50;0,00;;;
99,00;1,00;-22,50;0,00;;;
100,00;1,00;-22,50;0,00;;;
101,00;1,00;-22,50;0,00;;;
102,00;1,00;-22,50;0,00;;;
103,00;1,00;-15,80;0,00;;;
104,00;1,00;-15,80;0,00;;;
105,00;1,00;-15,80;0,00;;;
106,00;1,00;-15,80;0,00;;;
107,00;1,00;-15,80;38,73;;;
108,00;1,00;-15,80;83,60;;;
109,00;1,00;-15,80;116,40;;;
110,00;1,00;-15,80;168,06;;;
111,00;1,00;-15,80;150,24;;;
112,00;1,00;-15,80;99,86;;;
113,00;1,00;-15,80;47,99;;;
114,00;1,00;-15,80;10,65;;;
115,00;1,00;-15,80;0,00;;;
116,00;1,00;-15,80;0,00;;;
117,00;1,00;-15,80;0,00;;;
118,00;1,00;-15,80;0,00;;;
119,00;1,00;-13,90;0,00;;;
120,00;1,00;-13,90;0,00;;;
121,00;1,00;-22,60;0,00;;;
122,00;1,00;-22,60;0,00;;;
123,00;1,00;-22,60;0,00;;;
124,00;1,00;-22,60;0,00;;;
125,00;1,00;-22,60;0,00;;;
126,00;1,00;-22,60;0,00;;;
127,00;1,00;-19,50;0,00;;;
128,00;1,00;-19,50;0,00;;;
129,00;1,00;-19,50;0,00;;;
130,00;1,00;-19,50;0,00;;;
131,00;1,00;-19,50;82,24;;;
132,00;1,00;-19,50;149,92;;;
133,00;1,00;-19,50;251,89;;;
134,00;1,00;-19,50;386,76;;;
135,00;1,00;-19,50;337,19;;;
136,00;1,00;-19,50;214,96;;;
137,00;1,00;-19,50;149,56;;;
138,00;2,00;-19,50;38,30;;;
139,00;2,00;-19,50;0,00;;;
140,00;2,00;-19,50;0,00;;;
141,00;2,00;-19,50;0,00;;;
142,00;2,00;-19,50;0,00;;;
143,00;2,00;-16,80;0,00;;;
144,00;1,00;-16,80;0,00;;;
145,00;1,00;-23,60;0,00;;;
146,00;1,00;-23,60;0,00;;;
147,00;1,00;-23,60;0,00;;;
148,00;1,00;-23,60;0,00;;;
149,00;1,00;-23,60;0,00;;;
150,00;1,00;-23,60;0,00;;;
151,00;1,00;-15,70;0,00;;;
152,00;1,00;-15,70;0,00;;;
153,00;1,00;-15,70;0,00;;;
154,00;1,00;-15,70;0,00;;;
155,00;1,00;-15,70;81,93;;;
156,00;1,00;-15,70;149,02;;;
157,00;1,00;-15,70;194,21;;;
158,00;1,00;-15,70;319,16;;;
159,00;1,00;-15,70;273,22;;;
160,00;1,00;-15,70;160,27;;;
161,00;1,00;-15,70;100,79;;;
162,00;2,00;-15,70;18,19;;;
163,00;2,00;-15,70;0,00;;;
164,00;2,00;-15,70;0,00;;;
165,00;2,00;-15,70;0,00;;;
166,00;2,00;-15,70;0,00;;;
167,00;2,00;-11,30;0,00;;;
168,00;2,00;-11,30;0,00;;;
169,00;2,00;-13,30;0,00;;;
170,00;2,00;-13,30;0,00;;;
171,00;2,00;-13,30;0,00;;;
172,00;2,00;-13,30;0,00;;;
173,00;2,00;-13,30;0,00;;;
174,00;1,00;-13,30;0,00;;;
175,00;1,00;-15,70;0,00;;;
176,00;1,00;-15,70;0,00;;;
177,00;1,00;-15,70;0,00;;;
178,00;1,00;-15,70;0,00;;;
179,00;1,00;-15,70;40,17;;;
180,00;1,00;-15,70;84,84;;;
181,00;1,00;-15,70;155,37;;;
182,00;1,00;-15,70;263,59;;;
183,00;1,00;-15,70;223,72;;;
184,00;1,00;-15,70;126,24;;;
185,00;1,00;-15,70;75,80;;;
186,00;1,00;-15,70;11,78;;;
187,00;1,00;-15,70;0,00;;;
188,00;1,00;-15,70;0,00;;;
189,00;1,00;-15,70;0,00;;;
190,00;1,00;-15,70;0,00;;;
191,00;1,00;-14,30;0,00;;;
192,00;1,00;-14,30;0,00;;;
193,00;1,00;-20,50;0,00;;;
194,00;1,00;-20,50;0,00;;;
195,00;1,00;-20,50;0,00;;;
196,00;1,00;-20,50;0,00;;;
197,00;1,00;-20,50;0,00;;;
198,00;1,00;-20,50;0,00;;;
199,00;1,00;-17,30;0,00;;;
200,00;1,00;-17,30;0,00;;;
201,00;1,00;-17,30;0,00;;;
202,00;1,00;-17,30;0,00;;;
203,00;1,00;-17,30;63,42;;;
204,00;1,00;-17,30;126,54;;;
205,00;1,00;-17,30;251,32;;;
206,00;1,00;-17,30;389,17;;;
207,00;1,00;-17,30;338,47;;;
208,00;1,00;-17,30;213,73;;;
209,00;1,00;-17,30;147,61;;;
210,00;1,00;-17,30;38,47;;;
211,00;1,00;-17,30;0,00;;;
212,00;1,00;-17,30;0,00;;;
213,00;1,00;-17,30;0,00;;;
214,00;1,00;-17,30;0,00;;;
215,00;1,00;-13,00;0,00;;;
216,00;2,00;-13,00;0,00;;;
217,00;2,00;-14,90;0,00;;;
218,00;2,00;-14,90;0,00;;;
219,00;2,00;-14,90;0,00;;;
220,00;2,00;-14,90;0,00;;;
221,00;2,00;-14,90;0,00;;;
222,00;1,00;-14,90;0,00;;;
223,00;1,00;-13,80;0,00;;;
224,00;1,00;-13,80;0,00;;;
225,00;1,00;-13,80;0,00;;;
226,00;1,00;-13,80;0,00;;;
227,00;1,00;-13,80;41,33;;;
228,00;1,00;-13,80;85,80;;;
229,00;1,00;-13,80;144,33;;;
230,00;1,00;-13,80;184,14;;;
231,00;1,00;-13,80;184,12;;;
232,00;1,00;-13,80;125,01;;;
233,00;1,00;-13,80;85,72;;;
234,00;2,00;-13,80;16,94;;;
235,00;2,00;-13,80;0,00;;;
236,00;2,00;-13,80;0,00;;;
237,00;2,00;-13,80;0,00;;;
238,00;2,00;-13,80;0,00;;;
239,00;2,00;-12,90;0,00;;;
240,00;1,00;-12,90;0,00;;;
241,00;1,00;-18,30;0,00;;;
242,00;1,00;-18,30;0,00;;;
243,00;1,00;-18,30;0,00;;;
244,00;1,00;-18,30;0,00;;;
245,00;1,00;-18,30;0,00;;;
246,00;1,00;-18,30;0,00;;;
247,00;1,00;-13,90;0,00;;;
248,00;1,00;-13,90;0,00;;;
249,00;1,00;-13,90;0,00;;;
250,00;1,00;-13,90;0,00;;;
251,00;1,00;-13,90;64,16;;;
252,00;0,00;-13,90;126,94;;;
253,00;0,00;-13,90;247,30;;;
254,00;0,00;-13,90;332,24;;;
255,00;0,00;-13,90;332,17;;;
256,00;0,00;-13,90;210,57;;;
257,00;0,00;-13,90;145,78;;;
258,00;0,00;-13,90;39,07;;;
259,00;0,00;-13,90;0,00;;;
260,00;0,00;-13,90;0,00;;;
261,00;0,00;-13,90;0,00;;;
262,00;0,00;-13,90;0,00;;;
263,00;0,00;-12,50;0,00;;;
264,00;1,00;-12,50;0,00;;;
265,00;1,00;-19,30;0,00;;;
266,00;1,00;-19,30;0,00;;;
267,00;1,00;-19,30;0,00;;;
268,00;1,00;-19,30;0,00;;;
269,00;1,00;-19,30;0,00;;;
270,00;1,00;-19,30;0,00;;;
271,00;1,00;-15,30;0,00;;;
272,00;1,00;-15,30;0,00;;;
273,00;1,00;-15,30;0,00;;;
274,00;1,00;-15,30;0,00;;;
275,00;1,00;-15,30;80,58;;;
276,00;0,00;-15,30;146,70;;;
277,00;0,00;-15,30;157,13;;;
278,00;0,00;-15,30;224,20;;;
279,00;0,00;-15,30;224,19;;;
280,00;0,00;-15,30;128,42;;;
281,00;0,00;-15,30;78,46;;;
282,00;1,00;-15,30;13,47;;;
283,00;1,00;-15,30;0,00;;;
284,00;1,00;-15,30;0,00;;;
285,00;1,00;-15,30;0,00;;;
286,00;1,00;-15,30;0,00;;;
287,00;1,00;-11,70;0,00;;;
288,00;1,00;-11,70;0,00;;;
289,00;1,00;-14,90;0,00;;;
290,00;1,00;-14,90;0,00;;;
291,00;1,00;-14,90;0,00;;;
292,00;1,00;-14,90;0,00;;;
293,00;1,00;-14,90;0,00;;;
294,00;1,00;-14,90;0,00;;;
295,00;1,00;-16,90;0,00;;;
296,00;1,00;-16,90;0,00;;;
297,00;1,00;-16,90;0,00;;;
298,00;1,00;-16,90;0,00;;;
299,00;1,00;-16,90;29,60;;;
300,00;1,00;-16,90;64,52;;;
301,00;1,00;-16,90;146,26;;;
302,00;1,00;-16,90;186,54;;;
303,00;1,00;-16,90;186,51;;;
304,00;1,00;-16,90;126,76;;;
305,00;1,00;-16,90;87,15;;;
306,00;0,00;-16,90;17,68;;;
307,00;0,00;-16,90;0,00;;;
308,00;0,00;-16,90;0,00;;;
309,00;0,00;-16,90;0,00;;;
310,00;0,00;-16,90;0,00;;;
311,00;0,00;-16,70;0,00;;;
312,00;1,00;-16,70;0,00;;;
313,00;1,00;-25,30;0,00;;;
314,00;1,00;-25,30;0,00;;;
315,00;1,00;-25,30;0,00;;;
316,00;1,00;-25,30;0,00;;;
317,00;1,00;-25,30;0,00;;;
318,00;1,00;-25,30;0,00;;;
319,00;1,00;-21,10;0,00;;;
320,00;1,00;-21,10;0,00;;;
321,00;1,00;-21,10;0,00;;;
322,00;1,00;-21,10;0,00;;;
323,00;1,00;-21,10;79,76;;;
324,00;1,00;-21,10;146,73;;;
325,00;1,00;-21,10;231,76;;;
326,00;1,00;-21,10;320,07;;;
327,00;1,00;-21,10;320,02;;;
328,00;1,00;-21,10;193,85;;;
329,00;1,00;-21,10;127,65;;;
330,00;0,00;-21,10;29,07;;;
331,00;0,00;-21,10;0,00;;;
332,00;0,00;-21,10;0,00;;;
333,00;0,00;-21,10;0,00;;;
334,00;0,00;-21,10;0,00;;;
335,00;0,00;-17,90;0,00;;;
336,00;1,00;-17,90;0,00;;;
337,00;1,00;-18,20;0,00;;;
338,00;1,00;-18,20;0,00;;;
339,00;1,00;-18,20;0,00;;;
340,00;1,00;-18,20;0,00;;;
341,00;1,00;-18,20;0,00;;;
342,00;1,00;-18,20;0,00;;;
343,00;1,00;-15,00;0,00;;;
344,00;1,00;-15,00;0,00;;;
345,00;1,00;-15,00;0,00;;;
346,00;1,00;-15,00;0,00;;;
347,00;1,00;-15,00;78,12;;;
348,00;0,00;-15,00;136,08;;;
349,00;0,00;-15,00;147,72;;;
350,00;0,00;-15,00;188,32;;;
351,00;0,00;-15,00;188,29;;;
352,00;0,00;-15,00;128,10;;;
353,00;0,00;-15,00;88,32;;;
354,00;1,00;-15,00;18,37;;;
355,00;1,00;-15,00;0,00;;;
356,00;1,00;-15,00;0,00;;;
357,00;1,00;-15,00;0,00;;;
358,00;1,00;-15,00;0,00;;;
359,00;1,00;-10,10;0,00;;;
360,00;1,00;-10,10;0,00;;;
361,00;1,00;-12,40;0,00;;;
362,00;1,00;-12,40;0,00;;;
363,00;1,00;-12,40;0,00;;;
364,00;1,00;-12,40;0,00;;;
365,00;1,00;-12,40;0,00;;;
366,00;0,00;-12,40;0,00;;;
367,00;0,00;-12,60;0,00;;;
368,00;0,00;-12,60;0,00;;;
369,00;0,00;-12,60;0,00;;;
370,00;0,00;-12,60;0,00;;;
371,00;0,00;-12,60;43,74;;;
372,00;1,00;-12,60;89,01;;;
373,00;1,00;-12,60;148,62;;;
374,00;1,00;-12,60;189,44;;;
375,00;1,00;-12,60;189,42;;;
376,00;1,00;-12,60;148,56;;;
377,00;1,00;-12,60;88,92;;;
378,00;1,00;-12,60;18,60;;;
379,00;1,00;-12,60;0,00;;;
380,00;1,00;-12,60;0,00;;;
381,00;1,00;-12,60;0,00;;;
382,00;1,00;-12,60;0,00;;;
383,00;1,00;-15,50;0,00;;;
384,00;0,00;-15,50;0,00;;;
385,00;0,00;-19,00;0,00;;;
386,00;0,00;-19,00;0,00;;;
387,00;0,00;-19,00;0,00;;;
388,00;0,00;-19,00;0,00;;;
389,00;0,00;-19,00;0,00;;;
390,00;2,00;-19,00;0,00;;;
391,00;2,00;-19,30;0,00;;;
392,00;2,00;-19,30;0,00;;;
393,00;2,00;-19,30;0,00;;;
394,00;2,00;-19,30;0,00;;;
395,00;2,00;-19,30;44,30;;;
396,00;1,00;-19,30;89,63;;;
397,00;1,00;-19,30;212,30;;;
398,00;1,00;-19,30;299,18;;;
399,00;1,00;-19,30;299,15;;;
400,00;1,00;-19,30;212,22;;;
401,00;1,00;-19,30;111,15;;;
402,00;0,00;-19,30;22,94;;;
403,00;0,00;-19,30;0,00;;;
404,00;0,00;-19,30;0,00;;;
405,00;0,00;-19,30;0,00;;;
406,00;0,00;-19,30;0,00;;;
407,00;0,00;-19,50;0,00;;;
408,00;1,00;-19,50;0,00;;;
409,00;1,00;-28,10;0,00;;;
410,00;1,00;-28,10;0,00;;;
411,00;1,00;-28,10;0,00;;;
412,00;1,00;-28,10;0,00;;;
413,00;1,00;-28,10;0,00;;;
414,00;0,00;-28,10;0,00;;;
415,00;0,00;-24,70;0,00;;;
416,00;0,00;-24,70;0,00;;;
417,00;0,00;-24,70;0,00;;;
418,00;0,00;-24,70;0,00;;;
419,00;0,00;-24,70;79,87;;;
420,00;0,00;-24,70;147,08;;;
421,00;0,00;-24,70;236,83;;;
422,00;0,00;-24,70;328,53;;;
423,00;0,00;-24,70;328,49;;;
424,00;0,00;-24,70;236,70;;;
425,00;0,00;-24,70;129,67;;;
426,00;0,00;-24,70;65,81;;;
427,00;0,00;-24,70;0,00;;;
428,00;0,00;-24,70;0,00;;;
429,00;0,00;-24,70;0,00;;;
430,00;0,00;-21,50;0,00;;;
431,00;0,00;-21,50;0,00;;;
432,00;1,00;-21,50;0,00;;;
433,00;1,00;-28,10;0,00;;;
434,00;1,00;-28,10;0,00;;;
435,00;1,00;-28,10;0,00;;;
436,00;1,00;-28,10;0,00;;;
437,00;1,00;-28,10;0,00;;;
438,00;0,00;-28,10;0,00;;;
439,00;0,00;-22,60;0,00;;;
440,00;0,00;-22,60;0,00;;;
441,00;0,00;-22,60;0,00;;;
442,00;0,00;-22,60;0,00;;;
443,00;0,00;-22,60;80,06;;;
444,00;0,00;-22,60;147,32;;;
445,00;0,00;-22,60;238,35;;;
446,00;0,00;-22,60;331,03;;;
447,00;0,00;-22,60;330,98;;;
448,00;0,00;-22,60;238,22;;;
449,00;0,00;-22,60;130,32;;;
450,00;1,00;-22,60;66,33;;;
451,00;1,00;-22,60;0,00;;;
452,00;1,00;-22,60;0,00;;;
453,00;1,00;-22,60;0,00;;;
454,00;1,00;-19,80;0,00;;;
455,00;1,00;-19,80;0,00;;;
456,00;0,00;-19,80;0,00;;;
457,00;0,00;-26,90;0,00;;;
458,00;0,00;-26,90;0,00;;;
459,00;0,00;-26,90;0,00;;;
460,00;0,00;-26,90;0,00;;;
461,00;0,00;-26,90;0,00;;;
462,00;1,00;-26,90;0,00;;;
463,00;1,00;-21,60;0,00;;;
464,00;1,00;-21,60;0,00;;;
465,00;1,00;-21,60;0,00;;;
466,00;1,00;-21,60;0,00;;;
467,00;1,00;-21,60;66,99;;;
468,00;1,00;-21,60;131,13;;;
469,00;1,00;-21,60;239,94;;;
470,00;1,00;-21,60;333,58;;;
471,00;1,00;-21,60;333,53;;;
472,00;1,00;-21,60;239,81;;;
473,00;1,00;-21,60;131,00;;;
474,00;1,00;-21,60;66,81;;;
475,00;1,00;-21,60;0,00;;;
476,00;1,00;-21,60;0,00;;;
477,00;1,00;-21,60;0,00;;;
478,00;1,00;-19,30;0,00;;;
479,00;1,00;-19,30;0,00;;;
480,00;0,00;-19,30;0,00;;;
481,00;0,00;-24,30;0,00;;;
482,00;0,00;-24,30;0,00;;;
483,00;0,00;-24,30;0,00;;;
484,00;0,00;-24,30;0,00;;;
485,00;0,00;-24,30;0,00;;;
486,00;0,00;-24,30;0,00;;;
487,00;0,00;-19,90;0,00;;;
488,00;0,00;-19,90;0,00;;;
489,00;0,00;-19,90;0,00;;;
490,00;0,00;-19,90;0,00;;;
491,00;0,00;-19,90;67,45;;;
492,00;0,00;-19,90;131,86;;;
493,00;0,00;-19,90;117,03;;;
494,00;0,00;-19,90;150,24;;;
495,00;0,00;-19,90;150,23;;;
496,00;0,00;-19,90;117,02;;;
497,00;0,00;-19,90;68,70;;;
498,00;0,00;-19,90;32,90;;;
499,00;0,00;-19,90;0,00;;;
500,00;0,00;-19,90;0,00;;;
501,00;0,00;-19,90;0,00;;;
502,00;0,00;-18,10;0,00;;;
503,00;0,00;-18,10;0,00;;;
504,00;1,00;-18,10;0,00;;;
505,00;1,00;-19,70;0,00;;;
506,00;1,00;-19,70;0,00;;;
507,00;1,00;-19,70;0,00;;;
508,00;1,00;-19,70;0,00;;;
509,00;1,00;-19,70;0,00;;;
510,00;1,00;-19,70;0,00;;;
511,00;1,00;-18,90;0,00;;;
512,00;1,00;-18,90;0,00;;;
513,00;1,00;-18,90;0,00;;;
514,00;1,00;-18,90;0,00;;;
515,00;1,00;-18,90;33,54;;;
516,00;1,00;-18,90;69,57;;;
517,00;1,00;-18,90;229,78;;;
518,00;1,00;-18,90;319,67;;;
519,00;1,00;-18,90;319,63;;;
520,00;1,00;-18,90;229,68;;;
521,00;1,00;-18,90;124,57;;;
522,00;0,00;-18,90;62,65;;;
523,00;0,00;-18,90;0,00;;;
524,00;0,00;-18,90;0,00;;;
525,00;0,00;-18,90;0,00;;;
526,00;0,00;-17,10;0,00;;;
527,00;0,00;-17,10;0,00;;;
528,00;1,00;-17,10;0,00;;;
529,00;1,00;-27,30;0,00;;;
530,00;1,00;-27,30;0,00;;;
531,00;1,00;-27,30;0,00;;;
532,00;1,00;-27,30;0,00;;;
533,00;1,00;-27,30;0,00;;;
534,00;1,00;-27,30;0,00;;;
535,00;1,00;-21,50;0,00;;;
536,00;1,00;-21,50;0,00;;;
537,00;1,00;-21,50;0,00;;;
538,00;1,00;-21,50;0,00;;;
539,00;1,00;-21,50;81,03;;;
540,00;0,00;-21,50;148,94;;;
541,00;0,00;-21,50;245,12;;;
542,00;0,00;-21,50;341,85;;;
543,00;0,00;-21,50;341,81;;;
544,00;0,00;-21,50;245,00;;;
545,00;0,00;-21,50;133,28;;;
546,00;0,00;-21,50;68,41;;;
547,00;0,00;-21,50;0,00;;;
548,00;0,00;-21,50;0,00;;;
549,00;0,00;-21,50;0,00;;;
550,00;0,00;-21,50;0,00;;;
551,00;0,00;-21,50;0,00;;;
552,00;1,00;-21,50;0,00;;;
553,00;1,00;-29,50;0,00;;;
554,00;1,00;-29,50;0,00;;;
555,00;1,00;-29,50;0,00;;;
556,00;1,00;-29,50;0,00;;;
557,00;1,00;-29,50;0,00;;;
558,00;1,00;-29,50;0,00;;;
559,00;1,00;-22,80;0,00;;;
560,00;1,00;-22,80;0,00;;;
561,00;1,00;-22,80;0,00;;;
562,00;1,00;-22,80;1,98;;;
563,00;1,00;-22,80;81,41;;;
564,00;1,00;-22,80;149,42;;;
565,00;1,00;-22,80;265,06;;;
566,00;1,00;-22,80;365,35;;;
567,00;1,00;-22,80;365,29;;;
568,00;1,00;-22,80;264,91;;;
569,00;1,00;-22,80;149,25;;;
570,00;1,00;-22,80;81,20;;;
571,00;1,00;-22,80;0,00;;;
572,00;1,00;-22,80;0,00;;;
573,00;1,00;-22,80;0,00;;;
574,00;1,00;-21,80;0,00;;;
575,00;1,00;-21,80;0,00;;;
576,00;1,00;-21,80;0,00;;;
577,00;1,00;-29,50;0,00;;;
578,00;1,00;-29,50;0,00;;;
579,00;1,00;-29,50;0,00;;;
580,00;1,00;-29,50;0,00;;;
581,00;1,00;-29,50;0,00;;;
582,00;1,00;-29,50;0,00;;;
583,00;1,00;-22,60;0,00;;;
584,00;1,00;-22,60;0,00;;;
585,00;1,00;-22,60;0,00;;;
586,00;1,00;-22,60;1,50;;;
587,00;1,00;-22,60;69,80;;;
588,00;0,00;-22,60;135,09;;;
589,00;0,00;-22,60;248,93;;;
590,00;0,00;-22,60;347,89;;;
591,00;0,00;-22,60;347,85;;;
592,00;0,00;-22,60;248,81;;;
593,00;0,00;-22,60;134,99;;;
594,00;1,00;-22,60;69,63;;;
595,00;1,00;-22,60;0,00;;;
596,00;1,00;-22,60;0,00;;;
597,00;1,00;-22,60;0,00;;;
598,00;1,00;-21,30;0,00;;;
599,00;1,00;-21,30;0,00;;;
600,00;1,00;-21,30;0,00;;;
601,00;1,00;-20,40;0,00;;;
602,00;1,00;-20,40;0,00;;;
603,00;1,00;-20,40;0,00;;;
604,00;1,00;-20,40;0,00;;;
605,00;1,00;-20,40;0,00;;;
606,00;2,00;-20,40;0,00;;;
607,00;2,00;-17,90;0,00;;;
608,00;2,00;-17,90;0,00;;;
609,00;1,00;-17,90;0,00;;;
610,00;1,00;-17,90;0,14;;;
611,00;1,00;-17,90;36,17;;;
612,00;1,00;-17,90;73,17;;;
613,00;1,00;-17,90;251,00;;;
614,00;1,00;-17,90;351,05;;;
615,00;1,00;-15,90;351,00;;;
616,00;1,00;-15,90;226,22;;;
617,00;1,00;-15,90;116,95;;;
618,00;1,00;-15,90;56,61;;;
619,00;1,00;-15,90;1,00;;;
620,00;1,00;-15,90;0,00;;;
621,00;1,00;-15,90;0,00;;;
622,00;1,00;-17,70;0,00;;;
623,00;1,00;-17,70;0,00;;;
624,00;1,00;-17,70;0,00;;;
625,00;1,00;-19,90;0,00;;;
626,00;1,00;-19,90;0,00;;;
627,00;0,00;-19,90;0,00;;;
628,00;0,00;-19,90;0,00;;;
629,00;0,00;-19,90;0,00;;;
630,00;0,00;-19,90;0,00;;;
631,00;0,00;-17,60;0,00;;;
632,00;0,00;-17,60;0,00;;;
633,00;0,00;-17,60;0,00;;;
634,00;0,00;-17,60;0,21;;;
635,00;0,00;-17,60;36,80;;;
636,00;0,00;-17,60;74,08;;;
637,00;0,00;-17,60;195,08;;;
638,00;0,00;-17,60;270,33;;;
639,00;0,00;-15,40;270,31;;;
640,00;0,00;-15,40;197,09;;;
641,00;0,00;-15,40;106,48;;;
642,00;0,00;-15,40;52,42;;;
643,00;0,00;-15,40;0,87;;;
644,00;0,00;-15,40;0,00;;;
645,00;0,00;-15,40;0,00;;;
646,00;0,00;-15,20;0,00;;;
647,00;0,00;-15,20;0,00;;;
648,00;0,00;-15,20;0,00;;;
649,00;0,00;-23,90;0,00;;;
650,00;0,00;-23,90;0,00;;;
651,00;1,00;-23,90;0,00;;;
652,00;1,00;-23,90;0,00;;;
653,00;1,00;-23,90;0,00;;;
654,00;0,00;-23,90;0,00;;;
655,00;0,00;-23,90;0,00;;;
656,00;0,00;-21,90;0,00;;;
657,00;1,00;-21,90;0,00;;;
658,00;1,00;-21,90;2,87;;;
659,00;1,00;-21,90;83,06;;;
660,00;1,00;-21,90;188,10;;;
661,00;1,00;-21,90;194,89;;;
662,00;1,00;-21,90;281,53;;;
663,00;1,00;-21,00;281,52;;;
664,00;1,00;-21,00;255,09;;;
665,00;1,00;-21,00;137,84;;;
666,00;0,00;-21,00;71,59;;;
